Link	Açıklama
3257083	La Chine "repousse" les bateaux de pêche et les patrouilleurs japonais des eaux contestées 
3257084	L'Allemagne a enregistré 1 926 agressions racistes contre des musulmans en 2023 
3257085	برلين تدين استخدام جنود إسرائيليين جريحا فلسطينيا درعا بشريا
3257086	Le roi du Maroc ordonne l'envoi de 40 tonnes de matériel médical à Gaza 
3257087	طهران.. نائب فيدان يلتقي وزير الخارجية الإيراني بالإنابة
3257088	نتنياهو يدعى التزام إسرائيل بمقترح بايدن للهدنة بغزة
3257090	BM: Sudan'ın batısındaki Faşir'de çatışmalar nedeniyle 143 bin kişi yerinden edildi
3257096	Cumhurbaşkanı Yardımcısı Yılmaz, 55. Uluslararası Cezayir Fuarı'nın açılışına katıldı
3257097	Save the Children: около 21 тысячи детей в секторе Газа разлучены со своими семьями
3257099	إسرائيل تعلن اعتراض صاروخين أطلقا تجاه مستوطنات محاذية لغزة
3257104	قدم.. طرابزون سبور يتفاوض رسميا مع 5 لاعبين جدد
3257105	نائب أردوغان يشارك في افتتاح معرض الجزائر الدولي الـ55
3257106	Guterres, internetten yayılan dezenformasyona karşı birlik çağrısı yaptı
3257107	Kosovo Serb jailed for attacking NATO soldiers
3257108	Dow up over 350 points after weak opening
3257109	Israel’s Smotrich vows to annex West Bank
3257111	واشنطن توقف "مؤقتا" توصيل المساعدات لغزة عبر الرصيف العائم
3257112	Israel’s defense minister discusses 3rd phase of Gaza war with US envoy
3257113	Council of EU adopts measure to support Kenya's military
3257114	Israeli shelling kills 7 civilians in Khan Younis
3257115	EU's Borrell warns of Israel's 'clear will' to annex West Bank 'little by little'
3257116	Smotrich i Izraelit zotohet se do të aneksojë Bregun Perëndimor
3257117	Tekirdağ'da iki otomobilin çarpışması sonucu 6 kişi yaralandı
3257118	Türkiye, Iran discuss bilateral relations in Tehran
3257119	Bitcoin drops to $60,000 for 1st time in 6 weeks
3257120	Hamas accuses Israel of evading Gaza cease-fire deal
3257121	US looks forward to 'continuing our discussions' with Türkiye at NATO summit: Envoy
3257122	ONU : 143 000 personnes déplacées par les combats à El-Fasher, dans l'ouest du Soudan
3257123	Peace in Ukraine will guarantee Europe's long-term security: Foreign minister
3257124	Pharmacy owners in US sentenced for $18M COVID fraud, money laundering
3257126	US to provide $100M over 3 years to support affordable housing
3257127	Заместители министров иностранных дел Турции и Ирана обсудили двухсторонние отношения
3257128	AB Yüksek Temsilcisi Borrell, İsrail'in Batı Şeria'yı yavaş yavaş ilhak etme niyetinde olduğunu söyledi
3257130	Sırp lider Vucic, Avrupa ve dünyadaki mevcut durumun kızışmasını beklediğini söyledi
3257131	U Gazi Husrev-begovom hanikahu u Sarajevu otvorena izložba "Sloboda izvan okvira" autorice Sadete Orman
3257135	Зеленский сменил командующего Объединенными силами ВСУ
3257136	مصر: لا صحة لترتيب قوائم للراغبين بالخروج من غزة
3257137	İtalya'da kısmi yerel seçimlerin ikinci turunda önemli kentleri merkez sol kazandı
3257138	العدالة والتنمية التركي: سنواصل النضال ضد التطرف بأوروبا
3257141	بوريل: إسرائيل لديها إرادة واضحة لضم الضفة الغربية تدريجيا
3257142	الجيش الإسرائيلي يعلن مقتل جندي في 7 أكتوبر واحتجاز جثته بغزة
3257145	Vučić: Srbija kao društvo mora da otvori dijalog o litijumu
3257146	При пожаре в подмосковном Фрязине погибли 8 человек
3257147	"رايتس ووتش" تطالب بنشر بعثة لحماية المدنيين في السودان
3257148	Çin, Rusya ile ticari ilişkilerinin Ukrayna Savaşı nedeniyle "karalanmasına" karşı çıkıyor
3257149	AB, dondurduğu Rus varlıklarının karından 1,4 milyar avroyu temmuzda Ukrayna'ya gönderecek
3257150	5 killed, 41 injured in Russian missile strike on Ukraine’s Donetsk region
3257151	فلسطين.. رئيس الوزراء يبحث مع مبعوثَين أوروبيين مستجدات الأوضاع
3257152	Josep Borrell : Israël a une volonté claire d’annexer progressivement la Cisjordanie 
3257153	Milli Savunma Bakanı Güler, Enerji ve Tabii Kaynaklar Bakanı Bayraktar ile görüştü
3257154	Zelenskyy replaces Ukraine military's joint forces commander
3257155	ABD, NATO Zirvesi'nde Türkiye ile görüşmelere devam etmeyi "sabırsızlıkla" bekliyor
3257156	الجيش الإسرائيلي: قصفنا أهدافا لحزب الله جنوبي وشرقي لبنان
3257157	Borrell upozorava da Izrael ima "jasnu volju" da anektira Zapadnu obalu
3257158	Israel ‘committed’ to Biden-backed Gaza cease-fire proposal, Netanyahu claims
3257159	US says Israeli forces strapping shot Palestinian to car 'absolutely unacceptable'
3257160	Ukraine: 5 morts et 41 blessés dans une frappe de missiles russe sur la région de Donetsk 
3257161	إيران والبحرين تتفقان على آلية للإفراج عن الأموال المجمدة لطهران
3257162	البنك الدولي يوافق على منح قرض للمغرب بقيمة 600 مليون دولار
3257163	Hamasi akuzon Izraelin se ka shmangur marrëveshjen e armëpushimit në Gaza
3257164	بروكسل: تحويل 1.4 مليار يورو من الأصول الروسية المجمدة إلى أوكرانيا
3257165	Interpol arrests 219 criminals in human trafficking operation
3257166	Germany hints at complying with ICC arrest order for Netanyahu
3257169	US continues to deny weapons delay to Israel after Netanyahu doubles down
3257170	Konya Otogarı, bayram tatili boyunca 550 bin yolcuyu ağırladı
3257171	Ardahan'daki Karadağlar’ın eteğinde ortaya çıkan "Atatürk silüeti" ilgi çekiyor
3257172	ABD'den, İsrail askerlerinin yaralı Filistinliyi askeri araca bağlamasına "şok edici" yorumu
3257173	ЕС направит Украине 1,4 млрд евро из прибыли от замороженных российских активов
3257174	موسكو.. حماس تبحث مع بوغدانوف سبل وقف حرب غزة
3257175	Iran announces agreement with Bahrain to release frozen assets
3257176	ABD Dışişleri raporuna göre Suriye'de PKK/YPG çocukları silah altına almaya devam ediyor
3257177	Egypt denies arrangements with US for Palestinians to leave Gaza
3257178	Spanja fiton 1:0 ndaj Shqipërisë, kalon në raundin e 16-të të kampionatit EURO 2024
3257179	Şırnak'ta refüje çarpan hafif ticari araçtaki 8 kişi yaralandı
3257180	Kuleba: Članstvo Ukrajine u EU-u ojačat će evropski blok
3257181	قدم.. الزمالك يعلن انسحابه من لقاء قمة الدوري المصري أمام الأهلي
3257182	Gaza: 7 civils palestiniens tués dans des bombardements israéliens à Khan Younès 
3257183	Washington: "attacher un Palestinien blessé au capot d'un véhicule militaire israélien est absolument inacceptable" 
3257184	Traite d'êtres humains: 219 personnes arrêtées par Interpol 
3257185	Washington suspend « provisoirement» l'acheminement de l’aide vers Gaza via le quai flottant 
3257186	ABD Hazine Bakanı Yellen, konut maliyetlerini düşürmeye yönelik yeni adımları duyurdu
3257187	Rusya: Batı, Ukrayna meselesinin çözümüne ilişkin "adil" müzakereleri reddediyor
3257188	واشنطن تصف استخدام جنود إسرائيل جريحا فلسطينيا درعا بشريا بـ"الصادم"
3257189	Gazze'deki hükümet: Yetersiz beslenme bir milyonu aşkın çocuğun hayatını doğrudan tehdit ediyor
3257190	مصدر ليبي: تأجيل فتح معبر رأس جدير الحدودي مع تونس للمرة الثانية 
3257191	Meloni ile Orban, Roma'da AB gündemindeki konuları ve Ukrayna'yı görüştü
3257192	Dışişleri Bakanı Fidan: Bizim için önemli olan NATO'nun terörle mücadele konusunda hassasiyet geliştirmesi
3257193	مصر.. إجراءات "عاجلة" لاستيراد كميات إضافية من الغاز والمازوت
3257194	ABD, Netanyahu'nun İsrail'e silah sevkiyatının azaldığı yönündeki açıklamalarını reddetti
3257195	عباس: الحكومة الإسرائيلية تسعى لإنهاء السلطة وإعادة فرض الاحتلال
3257196	İspanya, grubunu namağlup tamamladı
3257197	إسرائيل.. الكنيست يصادق بقراءة أولى على تمديد خدمة الاحتياط بالجيش
3257198	Major record companies in US sue music services using artificial intelligence
3257199	EURO 2024'te İtalya, uzatma dakikalarında son 16 biletini kaptı
3257201	EURO 2024: Italija remijem protiv Hrvatske izborila osminu finala
3257202	EURO 2024'te B Grubu tamamlandı
3257203	US military says multipurpose jet being used for Gaza airdrops
3257205	UE: transfert de 1,4 milliard d'euros d'avoirs russes gelés vers l'Ukraine en juillet prochain 
3257206	US's PKK-linked partners in northeastern Syria continue to recruit children: State Department
3257207	Hamas: Netanyahu, soykırıma devam etmek için ateşkes anlaşmasından kaçıyor
3257208	Maroc : La Banque mondiale approuve un financement de 600 millions de dollars pour renforcer le secteur public 
3257209	Crise entre le Niger et le Bénin : Deux anciens présidents béninois entament une médiation
3257210	الضفة.. الجيش الإسرائيلي يصيب عاملا فلسطينيا ويعتقله مع آخرين
3257211	Bitcoin dives below $60,000 as crypto selloff intensifies
3257212	Mattia Zaccagni's last-minute goal brings last 16 ticket to Italy
3257213	تقرير أمريكي: تنظيم "بي كي كي" الإرهابي يواصل تجنيد الأطفال قسرا
3257215	Texas woman charged with attempted capital murder for allegedly trying to drown 3-year-old Palestinian Muslim girl
3257216	Colombia launches talks with FARC dissident group
3257217	Serbia’s president warns of ‘biggest geopolitical crisis since Second World War’
3257218	Manisa'da 4,8 büyüklüğünde deprem
3257221	İsrail'in Gazze'de UNRWA'ya ait okullara düzenlediği saldırılarda en az 11 Filistinli öldü
3257222	Biden 'deeply disturbed' by alleged drowning attack on Palestinian-American child
3257224	New York Türkevi'nde Türk Lezzetleri Resepsiyonu düzenlendi
3257225	Italy’s Meloni meets with Hungarian leader Orban ahead of key EU summit
3257226	Irak, Türkiye ve İran ile sınırlarının güvenliği için yeni yöntemleri devreye alıyor
3257227	France’s Macron presses for creation of European defense force
3257228	Wikileaks founder Julian Assange strikes plea deal with US authorities
3257229	Cumhurbaşkanlığı İletişim Başkanlığına 5 sözleşmeli personel alınacak
3257230	UK premier says they 'haven't got the job done' on migration
3257231	US urges Israel to take additional steps to protect humanitarian workers in Gaza
3257232	NATO needs to be sensitive to Türkiye's terrorism concerns: Top diplomat
3257233	Şarkıcı Ferhat Göçer, Trabzon Kültür Yolu Festivali kapsamında konser verdi
3257234	400 Kenyan police officers depart for Haiti to lead UN-backed mission
3257235	US defense secretary appoints new chief of staff
3257236	Çin sahil güvenlik gemilerinin, Japon kara sularını ihlal ettiği bildirildi
3257237	Eski Avrupa Yatırım Bankası Başkanı Werner Hoyer'e yolsuzluk soruşturması
3257238	Biden, Trump prep for 1st debate in rematch of 2020 presidential election
3257239	Nijerya'da terör örgütü Boko Haram'ın rehin aldığı 99 kişi kurtarıldı
3257240	Macron'dan muhalefet partilerinin programlarının "iç savaş"a yol açabileceği uyarısı
3257242	Hamas denies report that it plans to move its political bureau to Iraq
3257243	Biden designates Kenya as 'major non-NATO ally'
3257247	"Kalkan-24" denetimlerinde 1456 düzensiz göçmen yakalandı
3257248	At least 11 Palestinians killed in Israeli strikes on UN-run schools in Gaza
3257250	Morning Briefing: June 25, 2024
3257251	Ankara'da FETÖ soruşturmasında 24 şüpheli hakkında gözaltı kararı
3257253	Китайские корабли вошли в территориальные воды Японии
3257254	وزير الدفاع السعودي يصل الصين في زيارة رسمية
3257255	10 قتلى بينهم شقيقة هنية بقصف استهدف منزلا للعائلة غربي غزة 
3257256	İsrail'in Gazze'de bir eve düzenlediği saldırıda Heniyye'nin kız kardeşi ile 9 kişi öldü
3257257	Не менее 11 палестинцев погибли при атаке Израиля на школы БАПОР в секторе Газа 
3257258	ХАМАС: Нетаньяху уклоняется от соглашения о прекращении огня ради продолжения геноцида
3257259	Türkiye ve dünya gündemi
3257260	Küresel piyasalar karışık seyrediyor
3257261	حملات اسرائیل به مدارس اونروا؛ دست‌کم 11 فلسطینی کشته شدند
3257263	دیدار معاون وزیر خارجه ترکیه و سرپرست وزارت خارجه ایران در تهران
3257264	Family members of Hamas chief, including his sister, killed in Israeli airstrike on their home in Gaza
3257270	طرح عراق برای امنیت مرزهایش با ترکیه و ایران 
3257271	وقوع زلزله 4.8 ریشتری در مانیسا
3257272	نرخ ارز و طلا در بازار آزاد استانبول
3257274	Лавров: РФ ни с кем не ведет никаких "подпольных переговоров" по Украине 
3257277	EURO 2024'te E Grubu'nda yarın Ukrayna ile Belçika karşılaşacak
3257278	Trêna Turîstîk a Tetwanê bi merasimê dest bi sefera xwe ya ewil kir
3257279	BiH: Očekuje se pojačan intenzitet saobraćaja, posebno u većim gradskim centrima
3257280	أسعار صرف العملات الرئيسية مقابل الليرة التركية
3257281	BiH: Umjereno do pretežno oblačno i nestabilno vrijeme s lokalnim pljuskovima i grmljavinom
3257283	EURO 2024'te E Grubu'nda Slovakya ile Romanya karşılaşacak
3257285	EURO 2024'te F Grubu'nda yarın Gürcistan ile Portekiz karşılaşacak
3257286	Saudi defense minister arrives in China to hold official meetings
3257287	خواهر اسماعیل هنیه در حمله اسرائیل به غزه کشته شد
3257289	الأجندة اليومية للنشرة العربية ـ الثلاثاء 25 يونيو 2024
3257290	Članovi porodice čelnika Hamasa Haniyeha ubijeni u izraelskom napadu u Gazi
3257291	ABD ile anlaşan WikiLeaks kurucusu Assange'ın ülkesi Avustralya'ya gitmesine izin verildi
3257292	Минобороны РФ: за ночь перехвачены и уничтожены 30 БПЛА над двумя регионами 
3257293	ترکیه: 1456 مهاجر غیرقانونی دستگیر شدند
3257294	Une frappe aérienne israélienne contre la maison familiale tue 10 membres de la famille, dont la sœur du chef du Hamas
3257295	Di kontrolên "Kalkan-24ê" da 1456 koçberên bêdestûr hatin girtin
3257296	ABD, Kenya'yı "NATO üyesi olmayan önemli müttefik" olarak ilan etti
3257297	قیمت نفت خام برنت به 85.16 دلار رسید
3257298	Australian Premier Albanese 'welcomes' news about Julian Assange
3257299	لبناء مرعش ما بعد الزلزال.. تركية تعمل مشغلة رافعة (تقرير)
3257300	Njemački industrijalci pozivaju vladu da poduzme mjere protiv slabog privrednog rasta
3257301	نرخ برابری دلار و یورو در مقابل لیر ترکیه
3257302	صحة غزة: نقص الأدوية الحاد يهدد حياة ألف مريض غسيل كلى 
3257303	Li Enqereyê di çarçoveya lêpirsîna FETOyê da ji bo 24 berşikan biryara binçavkirinê hat dayîn
3257304	Faits marquants de l'actualité internationale
3257305	ABD Başkanı Biden, Texas'ta Filistin asıllı 3 yaşındaki çocuğa yapılan saldırıdan rahatsız
3257306	Borsa güne yükselişle başladı
3257307	Hamas: Netanyahu izbjegava sporazum o prekidu vatre kako bi nastavio genocid u Gazi
3257308	Bayram tatilinde havalimanlarında yaklaşık 8 milyon yolcuya hizmet verildi
3257309	Bayram tatilinde Çeşme'nin otelleri de plajları da doldu
3257310	ABD Dışişleri Bakanı Blinken, İsrail Savunma Bakanı Gallant ile Gazze'de ateşkes çabalarını görüştü
3257311	معاملات بورس استانبول با سیر صعودی آغاز شد
3257312	Turkish stock exchange up at open
3257313	Në sulmin izraelit në Gaza vriten 10 palestinezë, përfshirë motrën e kreut të Hamasit
3257314	Julian Assange pušten iz pritvora nakon dogovora sa SAD-om
3257315	Israeli army admits carrying out airstrikes that killed family members of Hamas chief
3257316	Japonya açıklarında deniz tabanında 200 milyon tonu aşkın nadir toprak metali bulundu
3257317	8 people killed in fire in Moscow region
3257319	Konut Fiyat Endeksi nisanda yüzde 2,2 arttı
3257320	Biden désigne le Kenya comme “allié majeur non-membre de l’OTAN“
3257321	Фидан: Израиль использует ХАМАС в качестве предлога для полного уничтожения палестинского движения сопротивления
3257322	Güney Kore'deki fabrikada çıkan yangında ölenlerin sayısı 23'e yükseldi
3257323	YÖKDİL/2 başvuruları başladı
3257324	آمریکا، کنیا را متحد مهم غیرعضو ناتو اعلام کرد
3257325	Moskova'da bir binada çıkan yangında 6 kişi öldü
3257326	Izraeli bombardon shkollat e UNRWA-së në Gaza, vriten 11 palestinezë
3257327	Julian Assange autorisé à se rendre dans son pays, l'Australie, après un accord conclu avec les États-Unis
3257328	„Израел има јасна волја да го анектира Западниот Брег“, предупреди Борел
3257329	Rusija: U požaru u Moskovskoj oblasti poginulo osam ljudi
3257330	Palestinian groups confirm commitment to success of China's mediation for reconciliation
3257331	Bayram tatilini dolu dolu geçiren Ayvalık'ta gözler turizm sezonuna çevrildi
3257332	Hakkari'de çobanlar, karlı arazileri aşarak küçükbaş hayvanları sağıma götürüyor
3257333	При авиаударе по Газе погибла сестра главы Политбюро ХАМАС
3257334	Vlada SAD-a izdvaja dodatnih 100 miliona dolara za pristupačno stanovanje
3257335	A Milli Futbol Takımı grup ikinciliği için Çekya ile karşılaşacak
3257336	Serlêdanên ezmûna YOKDÎL/2yê dest pê kir
3257337	Le Kenya déploie 400 policiers en Haïti pour diriger une mission soutenue par les Nations unies
3257339	Седум цивили се убиени во израелски напад на Хан Јунис
3257340	آتش‌سوزی در مسکو؛ 6 نفر جان باختند
3257341	Türkiye'nin en büyük sanayi kuruluşu TÜPRAŞ
3257342	Themeluesi i WikiLeaks, Assange lirohet nga paraburgimi pas marrëveshjes me SHBA-në
3257344	Biden se dit “profondément troublé“ par la tentative présumée de noyer un enfant palestino-américain
3257345	U Njemačkoj u junu smanjena izvozna očekivanja kompanija
3257346	Госсекретарь США обсудил с главой Минобороны Израиля ситуацию в Газе
3257348	إسرائيل تقر بمسؤوليتها عن غارة أدت لمقتل شقيقة هنية بغزة
3257349	ABD'de demokratlar, İsrail Başbakanı Netanyahu'nun Kongre'deki konuşmasını boykota hazırlanıyor
3257351	 الضفة.. أزمة الحكومة المالية تؤثر على إمدادات الأدوية (تقرير)
3257352	مقتل 13 فلسطينيا بقصف إسرائيلي لمدرستين تأويان نازحين بغزة 
3257353	Israeli defense minister discusses with Blinken, in search for 'alternative' to Hamas rule in Gaza
3257354	فيدان: على النظام السوري استغلال الهدوء وتحقيق سلام مع معارضيه
3257355	Шпанија и Италија се пласираа во осминафиналето на ЕВРО 2024
3257356	Gaziantep'te çıkan anız yangınında asmalar ve zeytin ağaçları zarar gördü
3257357	Rusi, të paktën 8 persona humbën jetën në një zjarr në rajonin e Moskës
3257358	Uzun bayram tatili İstanbul'un havasına yaradı
3257359	Türksat 6A'nın uzaya gönderilmesi Türkiye için milat olacak
3257360	Bayram tatilinde elektrikli araç şarj süresinde rekor kırıldı
3257361	Yargıtay'dan kurbanlık dolandırıcısına verilen cezaya onama
3257362	Türkiye'nin olası BRICS üyeliği karşılıklı önemli ekonomik avantajlar sağlayabilir
3257363	Temiz enerjide yıllık 2 trilyon dolarlık yatırım ihtiyacı için yeni finansman modeli masada
3257364	Tatil dönüşü "mucize detokslar" değil dengeli beslenme tercih edilmeli
3257365	China’s lunar mission, carrying world's 1st cargo from Moon’s far side, returns home
3257366	U Nigeriji spašeno 99 osoba koje je teroristička organizacija Boko Haram uzela kao taoce
3257367	Dünyada Müslümanlara yönelik işkence sonucu ölümlerin önüne geçilemiyor
3257368	Olimpiyatlarda 11 milli güreşçi mindere çıkacak
3257369	Osmanlı kuş sarayları 5 asırdır güzelliğini koruyor
3257370	Paris Olimpiyatları'na 6 sıkletin 5'inde kota alan kadın boksörler iddialı hazırlanıyor
3257371	Yerli ırk arılar iklim değişikliğiyle daha iyi mücadele ediyor
3257372	Oyuncu Kemal Başar, Türki cumhuriyetlerde "Helikopter" oyununu sahneliyor
3257373	Balyacılar güneşin kavurduğu buğday tarlalarında kış hazırlığı yapıyor
3257374	Sağlık Bakanlığından aşırı sıcaklara karşı uyarı
3257375	TÜBA, bilim insanlarını "sürdürülebilir kalkınma" için bir araya getirecek
3257376	Hamasi: Netanyahu shmanget nga marrëveshja e armëpushimit për të vazhduar gjenocidin në Gaza
3257377	Nolsa, küçük esnafa destek olma hedefiyle yola devam ediyor
3257378	Hamas i Fatah pozdravljaju kineske posredničke napore za postizanje palestinskog pomirenja
3257379	Türkiye'deki evliliklerde "kök aile" önemini koruyor
3257380	Руководитель Офиса президента Украины и советник Белого дома обсудили подготовку к Саммиту НАТО в Вашингтоне
3257381	İranlılar yeni cumhurbaşkanından dünya ile etkileşim ve yaptırımların kaldırılmasını bekliyor
3257382	Everest'e 3 kez çıkan Tunç Fındık, Türk bayrağını farklı zirvelere de taşıyacak
3257383	AB, Sudan'ın istikrarını bozmaktan sorumlu tuttuğu 6 kişiye yaptırım kararı aldı
3257384	Güney Kore Devlet Başkanı'na göre, Kuzey Kore ile Rusya arasındaki anlaşma "tarihin akışına aykırı"
3257385	İngiliz akademisyenden, seçimden sonra Muhafazakar Partinin daha sağa kayabileceği tahmini
3257386	Macron: Programi stranaka krajnje desnice i krajnje ljevice mogli bi uvući Francusku u građanski rat
3257387	"Tatil dönüşü sendromu" bu önerilerle aşılabilir
3257388	Türk araştırmacılara obezite tedavi projesi için 7 milyon dolarlık bütçe
3257389	Bitlis'te dalış tutkunları Van Gölü'nün derinliklerindeki güzellikleri keşfediyor
3257391	Termometrelerin 50 dereceye yaklaştığı Şanlıurfa'da çalışanlar zorlu mesaide 
3257392	Çin'in, Ay'ın karanlık yüzünden kaya ve toprak örneklerini toplayan keşif aracı döndü
3257393	Osmaniye'de temel kazısında bulunan Roma dönemi mozaikleri gün yüzüne çıkarılıyor
3257396	شمار قربانیان آتش‌سوزی در کره جنوبی به 23 نفر رسید
3257397	Dışişleri Bakanı Fidan, Türkiye-Romanya-Polonya dışişleri bakanları toplantısına katılacak
3257399	Rusya'nın Dağıstan bölgesindeki saldırılarda ölenlerin sayısı 21’e çıktı
3257400	پیام بایدن درباره اقدام نژادپرستانه زن آمریکایی با کودک فلسطینی در تگزاس
3257404	Bayburtlu köylülerin yarım asırlık leylek özlemini dindiren "Hasret" bu yıl da geldi 
3257405	هاکان فیدان: "بەلامانەوە گرنگە لە بەرەنگاربوونەوەی تیرۆردا ناتۆ لە نیگەرانییەکانی تورکیا تێ بگات" 
3257406	Health Ministry in Gaza says lack of medicine threatens 1,000 dialysis patients
3257407	Oğlunun hakkını ararken hukuk fakültesini bitiren ev hanımı, hakim olmayı hedefliyor
3257408	Güvercinler için her gün 05.00'te pedal çevirmeye başlıyor
3257410	Biden osudio napad na trogodišnje dijete palestinskog porijekla u Texasu
3257411	ASPİLSAN Enerji, uçak, helikopter, İHA ve SİHA'lar için batarya üretiyor
3257412	Rusya Devlet Başkanı Putin, Ukrayna'ya yaptığı ateşkes teklifinin çatışmaları durdurabileceğini belirtti
3257414	MHP Genel Başkanı Bahçeli: Cumhur İttifakı, Türk milletinin ruh köküdür ve kararlılıkla yoluna devam edecektir
3257417	Демократы намерены бойкотировать выступление Нетаньяху в Конгрессе США
3257418	Uganda'nın vahşi yaşam parkları safari meraklılarını cezbediyor
3257419	Türkiye bu yılın 5 aylık döneminde 18 milyona yakın ziyaretçi ağırladı
3257420	Gazze'de ilaç ve tıbbi malzeme sıkıntısı nedeniyle 1000 diyaliz hastasının hayatı tehlikede
3257422	Brüksel'de üniversite kampüsündeki Filistin'e destek eylemi polis tarafından sonlandırıldı
3257423	Engelli vatandaşın ücretsiz seyahat hakkını 180 gün askıya alan TCDD'ye para cezası
3257424	Safranbolu bayram tatilinde 1 milyon 225 bin misafirini doğa ve tarihle iç içe ağırladı
3257425	Chine : Retour sur Terre de la mission lunaire avec la première cargaison au monde depuis de la face cachée de la Lune
3257426	Li Hekariyê şivan pezê xwe ji ser belekiyên berfê ra derbas dikin û dibin bêriyê
3257428	Ekonomi Koordinasyon Kurulu, Cumhurbaşkanı Yardımcısı Yılmaz başkanlığında toplandı
3257429	واشنطن.. غالانت يبحث مع بلينكن "إيجاد بديل لحماس" لحكم غزة
3257430	مسؤولون غربيون يحذرون لبنان من تحرك عسكري إسرائيلي محتمل
3257431	بايدن "منزعج" من محاولة سيدة أمريكية إغراق طفلة فلسطينية
3257432	ERÜ'de, zarar gören uçak pistlerinin hızlı tamiri için malzeme geliştirildi
3257433	Убиени сестрата и членови на семејството на шефот на Хамас во израелски напад врз Газа
3257434	سيول وواشنطن توقعان مذكرة تفاهم لتبادل تحليلات استخباراتية
3257435	Erzurum'un karlı yaylaları göçer aileleri ağırlıyor
3257436	محكمة تونسية تقضي بسجن الغنوشي عاما وبغرامة مالية
3257437	Çıldır-Aktaş Gümrük Kapısı'na yapılan parkla sürücülerin tır kuyruğu çilesi sona erdi
3257438	الحرب على غزة.. المياه العادمة تهديد آخر على حياة النازحين (تقرير)
3257440	الضفة.. ارتفاع حصيلة الاعتقالات إلى 9360 فلسطيني منذ 7 أكتوبر
3257441	Le ministère de la Santé de Gaza fait état d’une pénurie de médicaments qui menace la vie de 1 000 patients dialysés
3257442	حرفي تركي يحول نفايات الزجاج إلى قطع فنية وحليّ
3257443	Li Gazîentabê di şewata pirêzeyê da zirar gihîşt rez û darên zeytûnan
3257444	الذكاء الاصطناعي يتحكم بمسار 500 شركة في مؤشر S&P (تقرير)
3257445	فنانة تركية ترسم بالصوف على قماش اللباد
3257446	إسرائيليون يقدمون دعوى قضائية ضد الأونروا في نيويورك
3257447	Death toll in China floods rises to 60
3257448	إسرائيل تقصف خيام النازحين في مواصي خانيونس بقذيفة مدفعية 
3257449	SHBA, demokratët përgatiten të bojkotojnë fjalimin e Netanyahut në Kongres
3257450	Најмалку 11 Палестинци се убиени во израелски напади врз училиштата на УНРВА во Газа
3257451	TÜPRAŞ возглавила ТОП-500 промышленных предприятий Турции
3257452	Germany’s export sentiment down to minus 1 in June
3257453	При пожаре в подмосковном городе Фрязино погибли шесть человек
3257454	„Нетанјаху го избегнува договорот за прекин на огнот за да го продолжи геноцидот во Газа“
3257456	Bolu'da topraksız tarımla yetiştirilen çileklerin gelirleri gençlerin ihtiyaçları için kullanılıyor
3257457	Хакан Фидан: БРИКС — это  платформа, включающая  в себя все цивилизации и расы в отличие от ЕС
3257458	Belfast, glavni grad Sjeverne Irske, svake godine privlači milione turista
3257459	ABD'de yazın başlangıcına silahlı saldırılar damga vurdu
3257460	Fenerbahçe, yeni sezon hazırlıklarına devam etti
3257461	Çocukluk arkadaşı beyaz yakalı kadınlar, kültür eviyle yeni nesillere köy sevgisi aşılıyor
3257462	Число погибших полицейских при нападении боевиков в Дагестане увеличилось до 16
3257463	TMO hububat alım bedellerini üreticilerin hesaplarına aktardı
3257464	Жертвами обстрелов Донецкой области Украины за сутки стали 7 человек
3257465	THY, üçüncü kez "En Sürdürülebilir Bayrak Taşıyıcı Havayolu" ödülüne layık görüldü
3257466	BM: Gazze'de binlerce aile günlük ihtiyaçları için kirli deniz suyuna muhtaç bırakılıyor
3257467	Bingöl'de ormanlık alanda çıkan yangın söndürüldü
3257468	ریزش ارزش سهام در بازارهای بورس اروپا به‌جز انگلستان
3257469	Putin tvrdi da bi njegova ponuda Ukrajini za prekid vatre mogla zaustaviti sukob
3257470	Kırkpınar'da format değişikliğine karşı olan bazı başpehlivanlar ön elemeye katılmayacaklarını açıkladı
3257471	Макрон допустил возможность гражданской войны во Франции
3257472	Milli pentatlet Buğra Ünal'dan tarihi olimpiyat kotası
3257473	3 SORUDA- Dağıstan'daki terör saldırısı ne anlama geliyor?
3257474	ANALİZ - Avrupa'da aşırı sağın yükselişi: Ne kadar endişelenmeliyiz?
3257476	Tuz Gölü kuluçkalardan çıkan yavru flamingolarla şenlendi
3257477	Togg, kuruluşunun 6'ncı yılında Avrupa'ya açılmaya hazırlanıyor
3257479	В Нигерии из рук «Боко Харам» спасены около 100 человек
3257481	İsrail Yüksek Mahkemesi, Ultra-Ortodoks Yahudilerin zorunlu askerlikten muaf tutulamayacağına hükmetti
3257483	Eski Devlet Bakanlarından Erkovan için Meclis'te cenaze töreni düzenlendi
3257484	9 günlük Kurban Bayramı tatilinde meydana gelen 7 bin 216 trafik kazasında 72 kişi hayatını kaybetti
3257485	Кулеба: Членството на Украина во ЕУ ќе го зајакне европскиот блок
3257486	Gemi insanlarının taşıması gereken nitelikler düzenlenecek
3257487	Veteran Kashmiri leader dies in Pakistan
3257488	15 Yaş Altı Softbol Kız Milli Takımı'nın ikinci kampı Çankırı'da devam ediyor
3257489	Su kaynaklarının israf edilmemesi için tarımsal sulamanın bilinçli yapılması gerekiyor
